,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
875,You inspire followers greatly,You inspired followers greatly,"[-3.0689564   6.8056226   0.20646715 ... -0.6974383   0.39904225
  2.3432636 ]",[-2.8959012  2.8392766 -1.2771242 ... -1.95701    1.276686   2.966138 ]
876,It motivates people powerfully,It motivated people powerfully,"[-0.79366016  7.3169417   0.1720993  ... -1.1484236  -0.8639491
  1.7627326 ]","[-0.62834823  5.24813    -0.68779325 ... -1.563647   -0.98411787
  2.48705   ]"
877,He influences audiences profoundly,He influenced audiences profoundly,"[-1.3304266   6.0877113   0.16849141 ...  0.06797034 -1.1378487
  2.1895108 ]","[-1.6842468   4.501564    0.23833665 ... -0.5237528  -0.5127435
  1.4557741 ]"
878,She persuades people effectively,She persuaded people effectively,"[ 1.315036    7.7877245   0.7677311  ... -0.89608777 -1.4832418
  3.93049   ]","[ 1.2834994   6.510531    0.51030684 ... -0.22334075  0.38837093
  3.838848  ]"
879,They convince listeners readily,They convinced listeners readily,"[ 1.5726067   6.469978   -0.21114404 ... -1.2162037   0.29937926
  4.2619376 ]","[ 2.52426     5.621456   -0.25349703 ... -1.8913369   1.8561223
  3.9171522 ]"
880,We sway opinions powerfully,We swayed opinions powerfully,"[-0.72622246  1.5928161   1.3463674  ...  0.08356349 -1.3921808
  2.1386447 ]","[-1.0027541  -0.06425967  0.74699193 ... -0.92118746 -1.1639837
  2.2589607 ]"
881,I lead effectively,I led effectively,"[-0.54192376  3.5769453   0.37970904 ... -0.15091015 -0.7105679
  2.4749463 ]","[-1.1840067   3.1627321  -0.13261712 ... -2.4688933  -0.2238064
  1.8399836 ]"
882,You manage skillfully,You managed skillfully,"[-0.79839027  3.9432325   0.63914746 ...  0.90062195  0.6612917
  2.1454577 ]","[-0.9363868   4.2624865   0.18662444 ... -1.5864028   1.4827161
  2.1410234 ]"
883,It operates seamlessly,It operated seamlessly,[ 1.9743515  1.9391018  0.9833872 ... -1.1293927 -0.6619851  1.5010328],[ 2.0447836  0.9286372  2.1425877 ... -1.7936741 -0.3765646  1.4623814]
884,He governs wisely,He governed wisely,"[ 0.83414227  7.9379206   1.4751343  ... -0.05650995  3.4837823
  4.4529295 ]",[-0.5764895  7.8171096  0.5347962 ... -0.9670155  4.186651   4.1831956]
885,She administers fairly,She administered fairly,"[ 1.5066547   4.745662    0.9058451  ...  0.59678316 -0.48197526
  1.5615579 ]","[ 0.04138243  6.900142   -0.45035115 ...  0.7415323   0.6967791
  1.6724644 ]"
886,They control effortlessly,They controlled effortlessly,[1.2349145  6.5790677  0.8233776  ... 0.44057754 0.03360128 1.3467617 ],"[ 1.0397903   6.1570725   1.6160808  ... -0.62053305  1.7063829
  2.3732285 ]"
887,We direct efficiently,We directed efficiently,"[-0.17874108  5.712934   -1.1469394  ... -0.41731414  0.4316182
  2.5103521 ]","[-0.27550337  3.1370773  -0.2782026  ... -2.050891    0.29461706
  1.941053  ]"
888,I supervise effectively,I supervised effectively,"[-0.05080352  2.7607524   1.8674512  ... -0.18999451  0.45913306
  2.5101821 ]","[ 0.21377026  2.8459148   1.4602871  ... -1.569107    1.5051556
  3.0554616 ]"
889,You coordinate expertly,You coordinated expertly,"[-0.98694026  1.6988257   1.0243633  ... -0.43692392  0.96663487
  2.276785  ]","[-0.90914345  1.5873322   0.95397353 ... -1.407509    1.9866748
  2.1484466 ]"
890,It functions optimally,It functioned optimally,[ 1.2735075  1.2528065 -1.0760983 ... -1.2211715 -0.6027885  1.0927358],[ 1.5473019  0.9808844 -0.4817087 ... -1.3372376 -0.9265445  1.2259457]
891,He performs flawlessly,He performed flawlessly,"[-0.0114965   3.660572   -1.1910026  ... -2.8563075  -0.11932743
  2.0905082 ]","[-0.15271646  3.763015   -2.0640497  ... -3.663683    0.03730774
  1.335386  ]"
892,She produces abundantly,She produced abundantly,"[ 1.0753022   3.890563   -0.406218   ... -0.68413913 -1.345926
  1.655717  ]","[ 0.06319821  3.8704128  -0.9061338  ... -1.1098548  -0.22324362
  2.0939481 ]"
893,They innovate consistently,They innovated consistently,"[-4.3035233e-01  5.7900395e+00 -1.5099843e-05 ... -2.2250773e-01
 -1.7345352e+00  2.8591568e+00]","[ 0.6751876   3.8102655   0.518292   ... -0.34131432 -2.175417
  1.9682254 ]"
894,The chef prepares a meal,The chef prepared a meal,"[-0.48102722  1.6215576   1.0553834  ... -0.69275427 -1.7855431
  2.0375798 ]",[-1.435724   0.9808196  0.4185416 ... -0.6219583 -2.671786   1.0368932]
895,The baker creates a cake,The baker created a cake,"[-1.738615   -2.1956165   0.85493964 ... -2.7013392  -1.9968342
  1.2359743 ]",[-1.5050914 -2.7669022  0.8456524 ... -2.6792324 -1.0662096  1.8001442]
896,The artist paints a picture,The artist painted a picture,"[-0.43061098 -1.1284158   1.194331   ... -1.5796702  -1.5227436
  0.9302918 ]","[ 0.33739877 -1.7839779   0.41978115 ... -2.1329494  -0.9933674
  0.5923093 ]"
897,The writer writes a story,The writer wrote a story,"[ 1.3525901  -0.30574495  0.4789818  ... -1.4764941   0.29432085
  1.8260958 ]","[ 0.22262171  0.3181234   0.67548984 ... -1.572093    1.3984398
  2.0128143 ]"
898,The musician plays music,The musician played music,[-0.6808747  4.1542997 -1.5728011 ... -2.1683905 -1.3294637  2.182159 ],"[-0.8862199   3.1470327  -1.5468574  ... -2.0604506  -0.69541913
  1.935734  ]"
899,The singer sings a song,The singer sang a song,"[ 0.01022077  2.5211663  -0.67007875 ... -0.33221027 -0.09218012
  0.2971722 ]","[ 0.41117984  2.1753101   0.10153557 ... -1.371008    0.48743963
  0.18504098]"
900,The dancer performs a routine,The dancer performed a routine,"[-1.1195176  -1.3732315  -1.5001614  ... -0.08780947 -2.9043214
  5.1964397 ]","[-1.0940334  -1.3745143  -1.0131975  ... -0.22539341 -2.6376426
  4.5904713 ]"
901,The actor portrays a character,The actor portrayed a character,"[-0.26134792  3.5450149   0.18031938 ...  1.1831927  -1.500486
  2.9337618 ]","[ 0.42071724  3.099132    0.16580582 ...  0.3158294  -1.4837792
  3.2552295 ]"
902,The director films a movie,The director filmed a movie,"[ 0.42857522  0.04473009  0.98767245 ... -0.47902212  0.62766236
  3.8803787 ]","[ 0.35943657  0.40984923  1.0604845  ... -1.3597476   0.8293203
  3.792199  ]"
903,The producer creates a film,The producer created a film,"[-0.06935239  2.1099322   0.9609774  ... -1.3520075   1.0864341
  1.7514967 ]","[-1.0288144   1.6967989   0.54176843 ... -1.0692645   1.3676987
  2.3046823 ]"
904,The editor edits footage,The editor edited footage,"[ 0.75757724  2.047608    1.804121   ... -0.7746575  -0.73064935
  3.0871408 ]","[ 0.99290466  1.7594888   1.7158365  ... -0.9897999  -0.8336022
  3.0555747 ]"
905,The cameraman films scenes,The cameraman filmed scenes,"[-1.0226254  -1.1094791   1.0780916  ... -0.7889391   0.27691263
  2.0991611 ]","[-0.8966988  -1.7731994   0.91565466 ... -0.89005935  0.7350913
  2.1684356 ]"
906,The sound engineer mixes audio,The sound engineer mixed audio,"[-1.3898557   2.4830441   1.9351851  ...  0.29397014  0.31743222
  1.660155  ]","[-1.3547459   2.6034455   1.4115381  ...  0.41009077  0.7864121
  1.5412353 ]"
907,The costume designer creates outfits,The costume designer created outfits,[ 1.8227457 -1.0146859 -0.249155  ... -1.1136789  0.3455938  1.2943461],"[ 1.7098701  -1.0370872  -0.35560313 ... -1.0136817   0.5851097
  1.581858  ]"
908,The set designer builds sets,The set designer built sets,"[ 1.9506966  -2.1857226  -0.5189169  ... -2.2403235   0.11594121
  0.3183319 ]",[ 1.2749187 -2.5499172 -0.8293786 ... -2.0836785  0.2596172  0.6159017]
909,The lighting designer sets the mood,The lighting designer set the mood,"[-0.21198083 -0.28903833  0.56178623 ...  0.49274495 -2.679344
 -1.1637424 ]","[-0.24845695 -1.041563    0.0413817  ...  0.4458337  -1.8905498
 -0.8183417 ]"
910,The choreographer designs dances,The choreographer designed dances,[ 1.2447609 -0.5314713  0.5951942 ...  0.7227367 -0.7849914  1.3866909],"[ 1.3905404  -1.1561455   0.42372698 ...  0.8104807  -0.12510724
  1.5902065 ]"
911,The playwright writes a play,The playwright wrote a play,"[ 1.399518    1.86704     1.4528186  ... -2.692068    0.16641578
  1.5443653 ]","[ 0.55102384  2.2850735   0.6480341  ... -2.4000008   1.0798329
  1.067812  ]"
912,The composer writes music,The composer wrote music,"[ 0.71336484  3.32777     1.3690878  ... -3.4084878   1.2476823
  0.10631144]","[ 0.3103692   3.0653934   1.4724159  ... -4.2769847   2.1388307
 -0.26366967]"
913,The conductor leads the orchestra,The conductor led the orchestra,"[ 1.0884256   2.9956532   1.0604792  ... -0.27260065  0.1744923
  0.9768875 ]","[ 1.0908887   2.2406857   0.65746224 ... -0.01400905  1.0313864
  0.66502583]"
914,The musician plays an instrument,The musician played an instrument,"[-0.57243764  4.712551   -1.7342488  ... -1.9043515  -0.77122766
  3.3301284 ]","[-1.0406748   3.669728   -1.1809028  ... -2.0898705   0.11858098
  3.1160207 ]"
915,The singer performs a song,The singer performed a song,"[-2.0444026   1.720899   -1.2810189  ... -0.31069762 -1.3549366
  1.9662193 ]","[-1.8962872   0.57618487 -0.23535617 ... -1.2779195  -1.4449031
  1.9151729 ]"
916,The dancer moves gracefully,The dancer moved gracefully,"[ 0.7263979  -0.2550798  -0.42831594 ...  0.250065   -1.4529406
  2.4151027 ]","[ 0.7583903  -0.5657459  -0.17752606 ... -0.16928864 -1.102893
  2.2776463 ]"
917,The actor acts convincingly,The actor acted convincingly,"[ 0.6658616   3.2663674  -0.6761781  ... -2.0028558   0.13958432
  2.448978  ]","[ 0.65009475  3.132784   -0.9185432  ... -2.345675    0.0564888
  2.2268167 ]"
918,The director guides actors,The director guided actors,"[-0.5246711   2.4083948   0.17095184 ... -0.05896479  1.1240692
  2.1626868 ]","[-0.6878941   2.3861828  -0.01433647 ... -0.2207433   2.2371309
  2.180163  ]"
919,The producer manages the project,The producer managed the project,"[ 0.19391707  0.7590581   0.06590309 ... -0.69114286  0.08871555
  1.6519344 ]","[-0.03434575  1.6401987  -0.20899901 ... -0.34830356  0.2182893
  2.1896036 ]"
920,The editor corrects mistakes,The editor corrected mistakes,"[ 1.9852406   2.3380136   1.5398562  ... -0.19186632  0.6149726
  1.6874056 ]",[ 2.5752473  1.9134188  1.5199958 ... -1.2523322  0.296978   1.7288725]
921,The cameraman shoots footage,The cameraman shot footage,"[-0.7740288  -0.00380392  0.94361097 ... -1.1669842   0.1372354
  2.5263531 ]","[-0.56732666 -0.25834095  0.5521487  ... -1.4934065   0.31549495
  2.512221  ]"
922,The sound engineer balances audio,The sound engineer balanced audio,"[-1.4142888   3.2792256   0.662707   ...  0.59776115  0.17504019
  1.3865587 ]","[-1.7334816   2.8236585   0.10283847 ...  0.1171876   0.33047143
  1.2334088 ]"
923,The costume designer selects costumes,The costume designer selected costumes,"[ 2.2185533  -0.32108137  0.12747054 ... -0.82567275 -0.16012111
  1.6113249 ]","[ 1.8024814  -0.76981413 -0.0775047  ... -1.1546233   0.22439137
  1.6103799 ]"
924,The set designer creates environments,The set designer created environments,"[ 1.2558687  -2.0581722  -0.4464344  ... -1.6685413  -0.19823554
  0.59945536]","[ 1.1361554  -2.3822663  -0.60407424 ... -1.8302065   0.00891607
  0.85362005]"
925,The lighting designer illuminates the stage,The lighting designer illuminated the stage,"[-1.2077563  -0.06974142 -0.16104722 ...  1.1799886  -2.8580902
  0.24675298]",[-1.2163501 -0.7883029 -0.6472929 ...  1.4001697 -2.310329   0.5129103]
926,The choreographer arranges movements,The choreographer arranged movements,"[ 1.0735538  -0.4514649   0.97567123 ...  1.7624699  -0.531552
  1.5673395 ]",[ 1.0860133 -1.3288777  1.4375473 ...  1.5039881 -0.0343723  1.6427053]
927,The playwright develops characters,The playwright developed characters,"[ 1.1312673   1.4489764   0.40994397 ... -1.6125853  -1.102038
  1.4063253 ]","[ 0.7788466   1.3311715   0.3051461  ... -1.9486251  -0.48111624
  0.94148326]"
928,The composer creates melodies,The composer created melodies,"[ 0.85025686  2.46745     1.8085659  ... -1.723012    2.565294
  0.18885028]","[ 0.8199927   2.1595805   1.8095012  ... -2.885965    2.839531
  0.15589607]"
929,The conductor interprets the score,The conductor interpreted the score,"[ 1.0742583   3.5002148   0.9802223  ... -2.102917   -2.0410643
  0.99462557]","[ 0.56734574  3.9835649  -0.6327059  ... -0.97102606 -1.5100111
  1.2423025 ]"
930,The musician improvises freely,The musician improvised freely,"[-0.53473747 -0.2876877   0.08950491 ... -2.402413    0.6556641
  1.0493414 ]","[-0.26180843 -0.8320502  -0.29712018 ... -1.601172    1.449383
  0.04077628]"
931,The singer belts out notes powerfully,The singer belted out notes powerfully,"[-2.5385115   4.9773984   0.7588249  ... -0.5273015  -3.7138498
 -0.09506981]","[-1.199422    3.9582577   0.7420575  ...  0.0641908  -2.4079194
 -0.21889164]"
932,The dancer leaps energetically,The dancer leaped energetically,[-1.3430716  0.9756017 -2.2023008 ... -0.2072391 -3.61432    3.6094487],[-1.5800781  1.3623012 -1.5411462 ... -0.9492031 -3.966326   3.602474 ]
933,The actor emotes passionately,The actor emoted passionately,"[-1.48366     2.6402533   1.8515892  ... -2.0269444   0.08631644
  3.284507  ]","[-1.2594105   2.341189    2.2319539  ... -2.6447105   0.37673226
  3.3014855 ]"
934,The director visualizes scenes clearly,The director visualized scenes clearly,"[-1.7849249   0.3929039   0.92432785 ... -1.0281029  -0.5597179
  2.32424   ]","[-2.1860607  -0.7657712   0.7242517  ... -0.7761838   0.28724518
  2.2367733 ]"
935,The producer anticipates problems,The producer anticipated problems,"[-0.86029446  0.97716886 -0.14181371 ... -1.6403339  -0.88927686
  1.0648118 ]","[-2.0700006   1.2085538   0.31874388 ... -1.1744192  -0.65332913
  1.7480427 ]"
936,The editor refines the material,The editor refined the material,"[-0.49576035  1.1173546   0.714247   ...  0.6590168  -0.7872965
  2.0646503 ]","[ 0.2681291   0.25169316  0.7177812  ... -1.0607164  -0.57863814
  2.5489604 ]"
937,The cameraman captures moments,The cameraman captured moments,"[-1.7003864  -0.22420335  1.4244268  ... -0.2512871   0.15574574
  1.3584306 ]",[-1.1973794 -1.4811062  1.0498357 ... -0.5611634  0.4306551  1.5122432]
938,The sound engineer enhances the sound,The sound engineer enhanced the sound,"[-2.3606765   3.3810256   0.5733471  ...  0.57088304  0.11186454
  1.6437944 ]","[-1.7596745   2.5985234   0.12604244 ...  0.9325684   0.18017234
  1.7097387 ]"
939,The costume designer styles meticulously,The costume designer styled meticulously,"[ 1.8708448  -1.8488468   0.15920718 ... -0.17921081  0.10106419
  0.9852363 ]","[ 1.3993905  -1.5449104   0.03088737 ... -0.47920838  0.21197748
  1.2641219 ]"
940,The set designer builds impressive sets,The set designer built impressive sets,"[ 0.8922704  -2.4715989  -0.87264115 ... -1.4344765   0.01846708
  0.2228425 ]","[ 0.7176571  -3.1482747  -1.130731   ... -1.251369    0.30531445
  0.5054911 ]"
941,The lighting designer uses light effectively,The lighting designer used light effectively,"[-1.0985047   0.8763997   0.42812407 ... -1.5167423  -3.326847
 -0.8867081 ]","[-1.5602039  -0.59088707  0.45013246 ... -1.8368621  -3.110358
 -1.0913507 ]"
942,The choreographer creates dynamic movement,The choreographer created dynamic movement,"[-0.09608034 -1.199802    0.99111605 ...  0.9184694  -0.22707878
  0.7538431 ]","[ 0.25411943 -1.870169    0.8408813  ...  1.1356088   0.14564471
  1.1151354 ]"
943,The playwright develops intricate plots,The playwright developed intricate plots,"[ 0.90618    -0.10619859  0.5397991  ... -1.535011   -1.4178686
  0.25642952]","[ 1.2093418  -0.51177484  0.60673225 ... -1.954112   -0.85076094
  0.051037  ]"
944,The composer structures complex pieces,The composer structured complex pieces,"[ 1.6499974   0.22029534  2.3506343  ... -2.0145307  -0.08643647
  0.55601156]","[ 1.2582448  -0.7167953   2.3105302  ... -1.9366719   0.60881436
  0.45818028]"
945,The conductor inspires musicians,The conductor inspired musicians,"[ 0.77118534  6.448465   -0.57758164 ... -1.2108972  -0.09514102
  1.2971056 ]",[ 1.6372994  4.7715282 -1.5794959 ... -1.5942755  1.3232185  1.099321 ]
946,The musician plays with emotion,The musician played with emotion,"[-1.1790962   5.9214716   0.06917615 ... -0.8948053  -0.74892247
  1.5363202 ]","[-1.9066681   4.9250903  -0.5296403  ... -1.1173538   0.06350692
  1.7921139 ]"
947,The singer uses her voice beautifully,The singer used her voice beautifully,"[-1.9290041   5.125114    0.3364346  ...  0.18338124 -2.4764931
  1.1722335 ]","[-2.1055958   4.816702    0.39066043 ...  0.25358048 -2.0796402
  1.1166321 ]"
948,The dancer expresses herself fully,The dancer expressed herself fully,"[-1.2021077   3.1341152  -0.40630913 ... -0.16473503 -4.1149316
  2.3921819 ]","[-0.49782258  2.274769   -0.22172996 ... -0.55473197 -3.2696831
  1.9532334 ]"
949,The scientist conducts research,The scientist conducted research,"[-0.8910691   4.225305    2.2057667  ... -0.49169797 -2.2515821
  2.457841  ]","[-0.5203353   2.430946    2.097449   ... -0.58598125 -2.4207358
  1.6494228 ]"
950,The researcher analyzes data,The researcher analyzed data,"[ 0.9883455   0.58164775 -0.36456645 ... -0.61006886 -1.1647941
  2.2505603 ]","[ 1.0957904   0.09303141 -0.16122305 ... -0.55249476 -0.7558048
  2.3088706 ]"
951,The professor teaches students,The professor taught students,"[-1.7839231   3.6172824   1.322551   ... -1.3084652  -0.42281148
  4.160926  ]","[-1.6017283   3.169041    1.2290157  ... -1.2178035   0.69740856
  4.1070013 ]"
952,The student learns diligently,The student learned diligently,"[ 0.80093765  2.994353    1.6081197  ... -0.9608354  -1.0580001
  3.1383388 ]","[-0.17128837  2.5876215   1.1121684  ... -1.2543066  -0.1657198
  3.508812  ]"
953,The doctor treats patients,The doctor treated patients,"[ 0.1231592   5.9891996   2.1718583  ... -1.9717261   0.59371775
  2.130231  ]",[ 0.3055995  4.6957817  1.9489534 ... -2.4642382  0.9645949  1.4728514]
954,The nurse cares compassionately,The nurse cared compassionately,[ 3.1549852  6.431826   1.8385235 ... -1.0965061  0.9834169  2.6424382],[ 2.3865514  5.0857573  1.5460263 ... -1.4369152  1.5585617  2.495211 ]
955,The teacher instructs students,The teacher instructed students,"[-0.69258624  2.0745716   1.4247644  ... -0.9612752  -1.543422
  2.8350053 ]","[ 0.04246372  1.6886699   1.2265557  ... -0.56806296 -2.1229937
  2.8825934 ]"
956,The lawyer argues cases,The lawyer argued cases,"[-0.03112057  1.8736417   1.4882202  ... -3.1133506  -1.1399368
  2.8262916 ]","[-0.29923105  1.6663508   0.9236202  ... -2.752997   -0.5953701
  2.8948483 ]"
957,The judge presides over court,The judge presided over court,"[ 0.4127202   0.17978494  1.2834109  ...  0.30348662 -0.30051723
  4.2169256 ]","[ 0.7272485  -0.32967648  0.9736331  ...  0.0563588  -0.36147007
  4.4712167 ]"
